# Motorcycle Models - autoplius.lt
# Formatas: BRAND|MODEL
# Vienas iraso per eilute. Eilutes prasidedancios # yra komentarai.

# === ABM ===
Harley-Davidson|Roadster
Harley-Davidson|Seventy-Two
Harley-Davidson|Softail
Harley-Davidson|Softail Custom
Harley-Davidson|Softail Deluxe
Harley-Davidson|Softail Slim
Harley-Davidson|Softail Standard
Harley-Davidson|Sport Glide
Harley-Davidson|Sportster
Harley-Davidson|Sportster S
Harley-Davidson|Sportster XL
Harley-Davidson|Street 500
Harley-Davidson|Street 750
Harley-Davidson|Street Bob
Harley-Davidson|Street Glide
Harley-Davidson|Street Glide Special
Harley-Davidson|Street Glide ST
Harley-Davidson|Street Rod
Harley-Davidson|SuperLow
Harley-Davidson|Superlow 1200T
Harley-Davidson|Tour Glide
Harley-Davidson|Tri Glide Ultra
Harley-Davidson|Ultra Classic
Harley-Davidson|Ultra Limited
Harley-Davidson|V-Rod
Harley-Davidson|V-Rod Muscle
Harley-Davidson|VRSCD Night Rod
Harley-Davidson|VRSCDX Night Rod Special
Harley-Davidson|VRSCF V-Rod Muscle
Harley-Davidson|VRSCR Street Rod
Harley-Davidson|Wide Glide
Harley-Davidson|XG 500
Harley-Davidson|XG 750
Harley-Davidson|XL 1200
Harley-Davidson|XL 883
Harley-Davidson|XR 1200

# === Triumph ===
Triumph|Other
Triumph|America
Triumph|Bonneville
Triumph|Bonneville Bobber
Triumph|Bonneville Speedmaster
Triumph|Bonneville T100
Triumph|Bonneville T120
Triumph|Daytona 600
Triumph|Daytona 650
Triumph|Daytona 660
Triumph|Daytona 675
Triumph|Daytona 765
Triumph|Daytona 955
Triumph|Daytona Moto2 765
Triumph|Legend
Triumph|Rocket 3
Triumph|Rocket III
Triumph|Scrambler 1200
Triumph|Scrambler 400 X
Triumph|Scrambler 900
Triumph|Speed 400
Triumph|Speed Four
Triumph|Speed Triple
Triumph|Speed Triple 1050
Triumph|Speed Triple 1200 RR
Triumph|Speed Triple 1200 RS
Triumph|Speed Twin
Triumph|Speed Twin 900
Triumph|Speedmaster
Triumph|Sprint
Triumph|Sprint GT
Triumph|Sprint RS
Triumph|Sprint ST
Triumph|Street Cup
Triumph|Street Scrambler
Triumph|Street Triple
Triumph|Street Triple 660
Triumph|Street Triple 675
Triumph|Street Triple 765
Triumph|Street Triple R
Triumph|Street Triple RS
Triumph|Street Twin
Triumph|Thruxton
Triumph|Thruxton 1200
Triumph|Thruxton 900
Triumph|Thruxton R
Triumph|Thruxton RS
Triumph|Thunderbird
Triumph|Thunderbird 1600
Triumph|Thunderbird 1700
Triumph|Thunderbird Storm
Triumph|Tiger
Triumph|Tiger 1050
Triumph|Tiger 1200
Triumph|Tiger 660 Sport
Triumph|Tiger 800
Triumph|Tiger 850 Sport
Triumph|Tiger 900
Triumph|Tiger Explorer
Triumph|Tiger Sport
Triumph|Tiger Sport 660
Triumph|Tiger Sport 800
Triumph|Trident 660
Triumph|Trophy
Triumph|Trophy 1200
Triumph|TT 600
Triumph|Tuxedo

# === Royal Enfield ===
Royal Enfield|Other
Royal Enfield|Bullet 350
Royal Enfield|Bullet 500
Royal Enfield|Classic 350
Royal Enfield|Classic 500
Royal Enfield|Continental GT 535
Royal Enfield|Continental GT 650
Royal Enfield|Hunter 350
Royal Enfield|Himalayan 411
Royal Enfield|Himalayan 450
Royal Enfield|Interceptor 650
Royal Enfield|Meteor 350
Royal Enfield|Scram 411
Royal Enfield|Shotgun 650
Royal Enfield|Super Meteor 650
Royal Enfield|Thunderbird 350
Royal Enfield|Thunderbird 500
Royal Enfield|Thunderbird X

# === Vespa ===
Vespa|Other
Vespa|946
Vespa|ET2
Vespa|ET4
Vespa|GTS 125
Vespa|GTS 150
Vespa|GTS 250
Vespa|GTS 300
Vespa|GTS Super
Vespa|GTV 125
Vespa|GTV 250
Vespa|GTV 300
Vespa|LX 125
Vespa|LX 150
Vespa|LX 50
Vespa|LXV 125
Vespa|PK 50
Vespa|PK 80
Vespa|Primavera
Vespa|Primavera 125
Vespa|Primavera 150
Vespa|Primavera 50
Vespa|PX 125
Vespa|PX 150
Vespa|PX 200
Vespa|S 125
Vespa|S 150
Vespa|S 50
Vespa|Sprint 125
Vespa|Sprint 150
Vespa|Sprint 50
